Query,Label
00:00:19:13 Start the video from here - put a banner in the start - THINGS TO NOT MISS IN NEW YORK IN OCTOBER! :star-struck: ,"Spelling in the captions / Adding text / Changing text
"
00:00:25:02 Zoom this in show full screen,Reframing
00:00:29:10 and I highly recommend you,
00:00:30:17 zoom this in more,Reframing
00:00:34:09 Zoom in his frame oto,Reframing
00:00:43:14 Add another sentence for this reel at the end,Reframing
00:00:00:00 approved,
00:00:00:00 approved,
00:00:00:00 approved,
0:00:10:20 aesthetically*,"Spelling in the captions / Adding text / Changing text
"
00:00:00:00 add watermark,"Spelling in the captions / Adding text / Changing text
"
00:00:00:22 add watermark,"Spelling in the captions / Adding text / Changing text
"
00:00:15:21 write caption,"Spelling in the captions / Adding text / Changing text
"
00:00:25:02 write caption,"Spelling in the captions / Adding text / Changing text
"
00:00:00:00 add watermark,"Spelling in the captions / Adding text / Changing text
"
00:00:00:20 Put banner here,"Spelling in the captions / Adding text / Changing text
"
0:00:07:10 Captions to come here,"Spelling in the captions / Adding text / Changing text
"
00:00:14:34 Put some soothing or romantic audio,Sound effects or music louder than the speaker’s voice
00:00:07:09 Please put some soothing or romantic audio,Sound effects or music louder than the speaker’s voice
"00:00:59:21 branding at end in all reels, go through her creators brief",Spelling in the captions / Adding text / Changing text
"00:00:59:15 branding at end,go through creators brief",Spelling in the captions / Adding text / Changing text
00:00:00:07 No watermark. Please put watermark,"Spelling in the captions / Adding text / Changing text
"
"00:00:42:22 Caption correction text should be - ""and this Finger ""","Spelling in the captions / Adding text / Changing text
"
"ext should be ""Fear on that""","Spelling in the captions / Adding text / Changing text
"
Text should be - Kardyro Marlo,"Spelling in the captions / Adding text / Changing text
"
00:00:52:22 again caption correction - text should be - The Kardyro Marlo,"Spelling in the captions / Adding text / Changing text
"
"text will be "" The Kardyro Marlo"" (","Spelling in the captions / Adding text / Changing text
"
"Please change text to - ""Giving him"" instead of given him","Spelling in the captions / Adding text / Changing text
"
00:00:00:00 approved,
00:00:00:00 approved,
00:00:55:03 approved ,
0:00:00:00 approved ,
00:00:00:00 approved ,
00:00:00:00 approved ,
00:00:55:11 approved,
00:00:51:27 write correct caption (*on I look so.... not good),Spelling in the captions / Adding text / Changing text
00:00:10:19 *another,Spelling in the captions / Adding text / Changing text
00:00:30:10 and slim ,Spelling in the captions / Adding text / Changing text
00:00:45:06 want them,Spelling in the captions / Adding text / Changing text
0:00:09:09 being attractive (,Spelling in the captions / Adding text / Changing text
00:00:07:18 remove 'at,Spelling in the captions / Adding text / Changing text
00:00:11:08 your butt ,Spelling in the captions / Adding text / Changing text
00:00:13:09 *anywhere you are ,Spelling in the captions / Adding text / Changing text
00:00:24:21 it's just true appearing 2 times,Spelling in the captions / Adding text / Changing text
00:00:01:23 or graphic ,Spelling in the captions / Adding text / Changing text
00:00:13:20 bare ,Spelling in the captions / Adding text / Changing text
he text will be *NORDICTRACK S271 (,"Spelling in the captions / Adding text / Changing text
"
00:00:05:10 *cowl ,Spelling in the captions / Adding text / Changing text
0:00:49:14 correct caption-capris were the answer,Spelling in the captions / Adding text / Changing text
00:00:44:21 so hair that appears,Spelling in the captions / Adding text / Changing text
00:00:05:01 but he says s27i in the vid i think you mean peloton bike plus instead of pro... ,Spelling in the captions / Adding text / Changing text
"00:00:16:29 remove 2nd 'but it also', it's 'has a terrible' ",Spelling in the captions / Adding text / Changing text
00:00:43:17 correct caption- your image,Spelling in the captions / Adding text / Changing text
0:00:56:02 correct caption- little bit easie,Spelling in the captions / Adding text / Changing text
00:00:10:24 blonde,Spelling in the captions / Adding text / Changing text
00:00:21:29 blonde ,Spelling in the captions / Adding text / Changing text
00:00:27:02 *not really walk ,Spelling in the captions / Adding text / Changing text
00:00:54:03 it's 'you'll be set.' ,Spelling in the captions / Adding text / Changing text
00:00:21:08 put the icing,Spelling in the captions / Adding text / Changing text
00:00:28:02 correct caption- pet owner,Spelling in the captions / Adding text / Changing text
"Use text ""That *is so gimmicky"" ","Spelling in the captions / Adding text / Changing text
"
00:00:43:34 Can you remove even though from the captions and cut out this part as well,Spelling in the captions / Adding text / Changing text
00:00:52:43 Model Y,Spelling in the captions / Adding text / Changing text
"00:00:35:38 Transition not proper, please check from Now most",Ending transition and sound effect not there
0:00:00:35 Put a banner - SCP-6383: The One True Anomaly,Spelling in the captions / Adding text / Changing text
"00:00:11:05 *brand,style",Spelling in the captions / Adding text / Changing text
00:00:46:25 Can we do a little zoom in zoom out of the frame,Reframing
00:00:00:00 increase volume as well,Sound effects or music louder than the speaker’s voice
00:00:22:21 add-rather than,Spelling in the captions / Adding text / Changing text
"correct text to ""Battery""","Spelling in the captions / Adding text / Changing text
"
00:00:04:40 mute his word - fucked,Spelling in the captions / Adding text / Changing text
and on screen text - F****D,"Spelling in the captions / Adding text / Changing text
"
00:00:14:26 put this picture below the caption not above,Spelling in the captions / Adding text / Changing text
00:00:13:06 correct caption-cleaning off your shoes ,Spelling in the captions / Adding text / Changing text
00:00:15:11 Remove captions here ,Spelling in the captions / Adding text / Changing text
"00:00:32:20 Bleep out the word, mute his voice on curse words and put text as F***","Spelling in the captions / Adding text / Changing text
"
"00:00:29:43 Caption error
Change text to ""From the Charge 3 to Charge 4 ","Spelling in the captions / Adding text / Changing text
"
00:00:29:37 Beep the word FUCKING and put on screen F******G,Spelling in the captions / Adding text / Changing text
"00:00:03:14 caption correction
Change text to ""that's *going to ""","Spelling in the captions / Adding text / Changing text
"
"00:00:00:17 You know what you guys, ",Spelling in the captions / Adding text / Changing text
00:00:05:02 Just popped out of nowehere ,Spelling in the captions / Adding text / Changing text
00:00:06:11 right now,Spelling in the captions / Adding text / Changing text
00:00:31:15 Portion control,Spelling in the captions / Adding text / Changing text
"00:00:47:22 RE-EDIT - can you please make a change to the TEXT in screen - the word should read ""Monocacy"" and not ""upon acasi"".","Spelling in the captions / Adding text / Changing text
"
"00:00:03:20 RE-EDIT - can you please make a change to the TEXT in screen @ 00:03 - the word should read ""Abe Lincoln"" and not ""ain't blinking"".  Thank you","Spelling in the captions / Adding text / Changing text
"
00:00:47:22 This wrong word is found at 00:47,
"00:00:32:03 RE-EDIT - can you please make a change to the TEXT on screen @ 000:32 - the word should read ""legs of Early's Men"" and not ""leg the burly man"".  Thank you.","Spelling in the captions / Adding text / Changing text
"
"00:00:07:48 Excellent editing!  RE-EDIT - can you please make a change to the TEXT on screen @ 00:07 - the word should read ""VMI"" and not ""BMI"".  Thank you.","Spelling in the captions / Adding text / Changing text
"
"00:00:22:12 caption correction
change text to ""YIELD *OPTIMIZER"" ","Spelling in the captions / Adding text / Changing text
"
00:00:37:18 CHANGE TEXT TO APR ,"Spelling in the captions / Adding text / Changing text
"
"00:00:21:53 RE-EDIT - can you please make a change to the TEXT on screen @ 00:21 - the word should read ""Rommel"" and not ""Ronald"".  Thank you.","Spelling in the captions / Adding text / Changing text
"
00:00:14:03 Change text to *1000,"Spelling in the captions / Adding text / Changing text
"
"0:00:00:00 RE-EDIT - can you please make a change to the TEXT on screen @ 00:11 - the word should read ""Patton"" and not ""Patent"".  Thank you.","Spelling in the captions / Adding text / Changing text
"
"00:00:16:11 PLEASE CHANGE TEXT TO ""On the ethereum network","Spelling in the captions / Adding text / Changing text
"
"00:00:26:17 Please change text to ""$1.21 FEE","Spelling in the captions / Adding text / Changing text
"
"00:00:26:00 Add some more highlights on the text for both of them
Can we try another font also?","Spelling in the captions / Adding text / Changing text
"
00:00:34:03 more clientele,Spelling in the captions / Adding text / Changing text
00:00:38:09 He buys at least ,Spelling in the captions / Adding text / Changing text
"00:00:41:06 Change text to ""*Governs voting power""","Spelling in the captions / Adding text / Changing text
"
00:00:40:04 two of them. ,Spelling in the captions / Adding text / Changing text
00:00:49:13 you have known me,Spelling in the captions / Adding text / Changing text
"00:00:01:14 can;t see him, cuts early ",Spelling in the captions / Adding text / Changing text
00:00:02:18 BOXHAUs,Spelling in the captions / Adding text / Changing text
00:00:03:05 More highlights in text,"Spelling in the captions / Adding text / Changing text
"
"00:00:03:22 Change text to ""Aight the last one we're gonna cover is"" ","Spelling in the captions / Adding text / Changing text
"
00:00:08:07 maybe... ,Spelling in the captions / Adding text / Changing text
00:00:29:06 Cut this,Spelling in the captions / Adding text / Changing text
"00:00:05:12 Change text to ""Celer Network""","Spelling in the captions / Adding text / Changing text
"
00:00:47:14 Add a money sound here ,Sound effects or music louder than the speaker’s voice
"00:00:13:09 Change text to ""C BRIDGE""","Spelling in the captions / Adding text / Changing text
"
00:00:02:00 Can we put some other B-roll here? ,
"00:00:15:24 CORRECT TEXT TO ""CBRIDGE""","Spelling in the captions / Adding text / Changing text
"
"0:00:19:03 CHANGE TEXT TO ""CELER NETWORK""","Spelling in the captions / Adding text / Changing text
"
"00:00:23:21 AGAIN CHANGE TEXT TO ""CELER NETWORK""","Spelling in the captions / Adding text / Changing text
"
00:00:26:09 APY ,Spelling in the captions / Adding text / Changing text
0:00:25:18 check the bg here,Spelling in the captions / Adding text / Changing text
"00:00:28:12 *In the celer network"" ",Spelling in the captions / Adding text / Changing text
"00:00:05:00 to this.
One that I see ",Spelling in the captions / Adding text / Changing text
00:00:30:21 APY,Spelling in the captions / Adding text / Changing text
0:00:31:25 APY ,Spelling in the captions / Adding text / Changing text
00:00:37:08 CELER NETWORK,Spelling in the captions / Adding text / Changing text
00:00:39:05 FARMING AP,Spelling in the captions / Adding text / Changing text
00:00:42:18 APY,Spelling in the captions / Adding text / Changing text
00:00:36:19 check the text getting cut ,"Spelling in the captions / Adding text / Changing text
"
00:00:44:22 CELER TOKEN (,Spelling in the captions / Adding text / Changing text
00:00:46:15 OVER THE CELER NETWORK,Spelling in the captions / Adding text / Changing text
00:00:50:23 *ETHEREUM ,Spelling in the captions / Adding text / Changing text
00:00:52:06 *AS WELL AS METIS,Spelling in the captions / Adding text / Changing text
00:00:56:18 And get a high apy ,Spelling in the captions / Adding text / Changing text
00:00:23:08 Park word repeated twice ,Spelling in the captions / Adding text / Changing text
00:00:26:20 Can end the reel here,
00:00:09:11 this two ,Spelling in the captions / Adding text / Changing text
00:00:27:14 end video here ,End video
00:00:03:46 Please change text to Recharging,"Spelling in the captions / Adding text / Changing text
"
00:00:25:16 Please change text test,"Spelling in the captions / Adding text / Changing text
"
00:00:03:09 Shift banner a bit below ,Spelling in the captions / Adding text / Changing text
"00:00:17:28 if you're a hotel guest, (",Spelling in the captions / Adding text / Changing text
00:00:19:23 can you show the pictures of all the places one by one as he says it?,
00:00:47:05 as it is supposed to pls chnge text ,"Spelling in the captions / Adding text / Changing text
"
00:00:02:05 Are (216 kB,Spelling in the captions / Adding text / Changing text
00:00:04:26 This ,Spelling in the captions / Adding text / Changing text
"00:00:06:01 Push this below.
And reduce the font size of the title on top and make it a different color (",Spelling in the captions / Adding text / Changing text
00:00:11:34 Adverse,Spelling in the captions / Adding text / Changing text
00:00:13:17 Zut to his face a bit,Spelling in the captions / Adding text / Changing text
00:00:18:28 Zoom out to his face again (,Spelling in the captions / Adding text / Changing text
00:00:25:50 the GPS ,Spelling in the captions / Adding text / Changing text
00:00:00:29 Shift banner below ,Spelling in the captions / Adding text / Changing text
00:00:20:28 $5 to $10,Spelling in the captions / Adding text / Changing text
"00:00:31:18 Put this mickey mouse one first and put mickey in the center
Put the street performers that are coming before this, here ",
00:00:49:18 fade the text also,"Spelling in the captions / Adding text / Changing text
"
00:00:02:02 Part 3,
0:00:19:22 can you zoom out and show this,
"00:00:21:07 to.
Things",Spelling in the captions / Adding text / Changing text
00:00:22:40 If,Spelling in the captions / Adding text / Changing text
00:00:25:25 over the counter medications (,Spelling in the captions / Adding text / Changing text
"00:00:27:21 Tylenol, also knows as the Acetaminophen ",Spelling in the captions / Adding text / Changing text
00:00:31:51 What,Spelling in the captions / Adding text / Changing text
00:00:54:02 WATCH MORE IN PART 2!,Spelling in the captions / Adding text / Changing text
00:00:02:02 Same as part 1,Spelling in the captions / Adding text / Changing text
00:00:08:00 Some ,Spelling in the captions / Adding text / Changing text
"00:00:10:52 runny nose,",Spelling in the captions / Adding text / Changing text
00:00:14:14 New ,Spelling in the captions / Adding text / Changing text
00:00:18:20 of a cholestrol lowering,Spelling in the captions / Adding text / Changing text
00:00:26:41 If,Spelling in the captions / Adding text / Changing text
00:00:39:42 Benefit,Spelling in the captions / Adding text / Changing text
00:00:46:52 End transition and sfx,Ending transition and sound effect not there
"00:00:05:05 Full screen banner
Bike model text wrong
Please correct text to - *NORDICTRACK 271 ","Spelling in the captions / Adding text / Changing text
"
"00:00:19:22 Caption error again (MODEL OF THE BIKE)
Please change text to NORDICTRACK S27I ADD THE i AFTER S27 ","Spelling in the captions / Adding text / Changing text
"
00:00:00:00 This reel is not playing ,
"00:00:35:54 Caption error
Please change text to ""Youre Riding"" ","Spelling in the captions / Adding text / Changing text
"
"00:00:00:00 Great edits!  Can you make a simple change to the title on screen and remove ""Last Part"" and instead just list it as Part 6 instead.  I don't want to use the term ""Last Part"" - just list it on screen as the next part - in case I want more edits from a video and then Last Part would be a problem.  Thank you.",
"00:00:18:51 Yes, are you ",Spelling in the captions / Adding text / Changing text
"00:00:21:36 Can we change the color of the srts, it is not that visible.",Spelling in the captions / Adding text / Changing text
00:00:41:59 man.,Spelling in the captions / Adding text / Changing text
00:00:52:27 ourselves. ,Spelling in the captions / Adding text / Changing text
00:00:46:52 Can we cut to zoom in on her face here,Reframing
00:00:52:27 Now back to this frame ,Reframing
00:01:07:36 man.,Reframing
00:01:17:01 Now  cut to his face ,Reframing
00:01:35:19 change his color captions also,Reframing
"00:01:35:19 Make the captions 2 points smaller overall, throughout the video.",Reframing
00:01:55:24 Here cut to her face,Reframing
00:02:25:06 Cut to his face,Reframing
00:02:28:49 Cut to her face,Reframing
00:02:33:51 40-50% ,Reframing
00:02:35:51 Back to this frame ,Reframing
00:01:56:56 Back to full frame ,Reframing
00:02:41:08 Cut to his face,Reframing
00:04:41:23 Cut to his face ,Reframing
00:04:45:03 Back to the frame,Reframing
00:05:06:56 Cut to her face,Reframing
00:05:50:18 Cut to his face,Reframing
00:06:46:06 Cut to her face,Reframing
00:07:15:13 remove the caption here ,Reframing
"00:00:17:12 Add some fun emojis in between, if you can add some stock footage, that would be great as well. ",Reframing
0:04:51:06 Enf the video here and put the outro,Reframing
0:00:51:19 approved!  Great edit. ,
"00:00:41:15 caption correction
please change text to *APY ","Spelling in the captions / Adding text / Changing text
"
00:00:15:28 Change text to *USDT instead of USD,"Spelling in the captions / Adding text / Changing text
"
00:00:32:08 Change text to (,"Spelling in the captions / Adding text / Changing text
"
"0:00:32:02 CHANGE TEXT TO"" USDT AND BUSD and to the ...""","Spelling in the captions / Adding text / Changing text
"
00:00:36:19 change text to *APY ,"Spelling in the captions / Adding text / Changing text
"
"00:00:05:12 again same text error
Please change text to - ""CELER NETWORK"" ","Spelling in the captions / Adding text / Changing text
"
"00:00:52:03 Also please display the information properly that jake is talking about here, the top part isnt properly visible. Please take care of that, if u have a problem get back to me.",Reframing
00:00:13:05 correct caption- in general ,"Spelling in the captions / Adding text / Changing text
"
00:00:01:18 This is very up the banner - bring it down and put it in a more stylish way?,"Spelling in the captions / Adding text / Changing text
"
00:00:07:18 remove comma ,"Spelling in the captions / Adding text / Changing text
"
00:00:01:18 Same banner ?,"Spelling in the captions / Adding text / Changing text
"
00:00:02:03 Increase the font size of the captions and shift them a bit below,Reframing
"00:00:15:06 Put some music - light subtle, not too loud.",Sound effects or music louder than the speaker’s voice
00:00:00:00 add music throughout the vide,Sound effects or music louder than the speaker’s voice
00:00:05:12 Wont help em,"Spelling in the captions / Adding text / Changing text
"
a field goal won't help 'em man,"Spelling in the captions / Adding text / Changing text
"
"00:00:26:00 The music is too loud, this needs to be fixed",Sound effects or music louder than the speaker’s voice
"00:00:53:18 we cant end a video in mid sentence. it looks incomplete. Just focus on little sleepies portion and have a beginning and end to it. Code to add on screen is ""Madison15"" for 15% off",Reframing
00:00:00:00 add thumbnail in the prescribed format for all the reels ,Reframing
00:00:03:20 Lower music,Sound effects or music louder than the speaker’s voice
00:00:13:00 Can have him zoomed in here? ,Reframing
00:00:18:13 Zoom in a little here,Reframing
00:00:45:01 Zoom this in again,Reframing
"00:00:35:27 Please change text to
*APR instead of APY ","Spelling in the captions / Adding text / Changing text
"
"00:00:07:25 Please change text to ""WHERE YOU CAN ACTUALLY BRIDGE""","Spelling in the captions / Adding text / Changing text
"
00:00:07:05 Put all the text coming below on top because it won't be visible below.,"Spelling in the captions / Adding text / Changing text
"
"00:00:20:08 Please change text to ""*I-FIT type situation""","Spelling in the captions / Adding text / Changing text
"
0:00:58:20 Please change text to *Witch Miracle. ,"Spelling in the captions / Adding text / Changing text
"
"00:00:09:08 Pleae change text to ""You got a deck of cards"" ","Spelling in the captions / Adding text / Changing text
"
"00:00:05:19 Please change text to ""TOP CARD OF THE DECK""","Spelling in the captions / Adding text / Changing text
"
"00:00:06:04 Please change text to ""THE SECOND CUT","Spelling in the captions / Adding text / Changing text
"
"00:00:47:21 Please change text to ""Work online","Spelling in the captions / Adding text / Changing text
"
"00:00:51:00 please change text to ""to be mortalized"" ","Spelling in the captions / Adding text / Changing text
"
"00:00:08:04 Please change text to ""*Defi yield aggregators,""","Spelling in the captions / Adding text / Changing text
"
"00:00:20:06 Please change text to ""Of all Defi Protocols.""","Spelling in the captions / Adding text / Changing text
"
00:00:00:00 Please remove the music at :19 i wanted to add my own. ,Sound effects or music louder than the speaker’s voice
00:00:46:28 Please change text to DEFI Protocols ,"Spelling in the captions / Adding text / Changing text
"
00:00:02:15 Hold how to find secret nyc art on screen for :03 seconds ,Reframing
00:00:23:05 video doesn't match the audio,Sound effects or music louder than the speaker’s voice
"00:00:35:11 same,video doesn't matches the audio",Sound effects or music louder than the speaker’s voice
00:00:43:21 same problem video audio are not going together ,Sound effects or music louder than the speaker’s voice
00:00:00:55 Please change text to - I'm gonna try and make,"Spelling in the captions / Adding text / Changing text
"
00:00:03:53 Please change text to - CHRIS HATES COPS. ,"Spelling in the captions / Adding text / Changing text
"
"00:00:31:16 Please change text to - * Swat, what is your theory? *","Spelling in the captions / Adding text / Changing text
"
00:00:00:18 Add watermark,"Spelling in the captions / Adding text / Changing text
"
00:00:02:00 Please add watermark. ,"Spelling in the captions / Adding text / Changing text
"
"00:00:57:03 He's getting away not ""you're going to be one""","Spelling in the captions / Adding text / Changing text
"
"00:00:28:06 Dude what do you want from us not ""do what you want from us""","Spelling in the captions / Adding text / Changing text
"
00:00:47:06 *ones ,"Spelling in the captions / Adding text / Changing text
"
00:00:53:01 *Farmacy,"Spelling in the captions / Adding text / Changing text
"
"00:00:58:08 add branding at end ,for that refer to creators brief,and video should not be more than 59 sec ",Reframing
00:00:01:05 add music throughout the video ,Sound effects or music louder than the speaker’s voice
00:00:00:00 put music throughout the video ,Sound effects or music louder than the speaker’s voice
00:54:29:21 Cut this ,Reframing
00:00:00:00 Please make the thumbnails like this - https://www.youtube.com/results?search_query=10+to+life (,
00:00:14:07 ADNAN CHOUDHARY,Reframing
00:00:00:00 Change the thumbnail as per the youtube link (,Reframing
00:00:00:00 zoom in the video,Reframing
00:00:00:00 full screen zoom (,Reframing
00:00:00:00 add music (,Sound effects or music louder than the speaker’s voice
00:00:00:00 add music ,Sound effects or music louder than the speaker’s voice
00:00:00:00 add music,Sound effects or music louder than the speaker’s voice
00:00:00:00 add music,Sound effects or music louder than the speaker’s voice
00:00:05:22 can you make the watermark a little smaller and on the left corner or right so its clearly visible. ,Reframing
00:00:00:17 put the banner for :04 sec ,Spelling in the captions / Adding text / Changing text
00:00:00:19 put the banner at starting for :04 sec (,Spelling in the captions / Adding text / Changing text
0:00:27:20 correct caption-or at least look behind you (,Spelling in the captions / Adding text / Changing text
00:00:03:21 correct caption- not a picture with elmo (,Spelling in the captions / Adding text / Changing text
00:00:00:03 put the banner in starting ,Spelling in the captions / Adding text / Changing text
00:00:00:04 put the banne,Spelling in the captions / Adding text / Changing text
00:00:00:02 put the banner,Spelling in the captions / Adding text / Changing text
00:00:08:06 correct caption- epic look,Spelling in the captions / Adding text / Changing text
0:00:19:10 put the caption here,Spelling in the captions / Adding text / Changing text
00:00:26:02 correct caption- change in season ,Spelling in the captions / Adding text / Changing text
00:00:01:09 put the banner,Spelling in the captions / Adding text / Changing text
00:00:07:04 put caption ,Spelling in the captions / Adding text / Changing text
00:00:19:17 *take a boat,Spelling in the captions / Adding text / Changing text
00:00:22:02 put caption,Spelling in the captions / Adding text / Changing text
00:00:00:13 put the banner (,Spelling in the captions / Adding text / Changing text
00:00:04:19 Please change text to THE RHYTHM +2 ,Spelling in the captions / Adding text / Changing text
00:00:03:15 Please add a full screen banner in the beginning and write text Peloton Bike review Pt. 1 ,Spelling in the captions / Adding text / Changing text
00:00:04:16 please add watermark along with it (,Spelling in the captions / Adding text / Changing text
"00:00:02:23 Please add full screen banner with text ""Peloton Bike Review Pt 2 "" and add watermark as well (",Spelling in the captions / Adding text / Changing text
"00:00:02:21 Please add full screen banner with text ""Peloton Bike Review Pt 3 "" and add watermark as wel",Spelling in the captions / Adding text / Changing text
00:00:00:05 Please add watermark,Spelling in the captions / Adding text / Changing text
00:00:00:08 Please add water mark,Spelling in the captions / Adding text / Changing text
00:00:00:00 Add watermark,Spelling in the captions / Adding text / Changing text
00:00:17:06 correct caption-hall right now ,Spelling in the captions / Adding text / Changing text
00:00:01:08 put the banner,Spelling in the captions / Adding text / Changing text
00:00:02:06 put the caption,Spelling in the captions / Adding text / Changing text
00:00:00:06 put the caption,Spelling in the captions / Adding text / Changing text
00:00:00:00 put a banner in the start - THINGS TO NOT MISS IN NEW YORK IN OCTOBER!,Spelling in the captions / Adding text / Changing text
00:00:50:12 add his website below for last 10 sec - RayGrimesFineArt.com,Spelling in the captions / Adding text / Changing text
00:00:49:27 add his website below for last 10 sec - RayGrimesFineArt.com ,Spelling in the captions / Adding text / Changing text
"00:00:03:26 Hi, i think all the Gamer of Thrones videos would be better without the watermark, thanks :)",Spelling in the captions / Adding text / Changing text
00:04:10:22 Faulty photograph. Please check this frame.,Reframing
"00:04:12:05 Faulty frame, please check for the proper photograph. ",Reframing
00:00:15:00 Start at :15 with Did you Know ,Spelling in the captions / Adding text / Changing text
00:00:15:17 Put a title card NYC JFK Airport Hack (and leave it on screen 2 seconds),Spelling in the captions / Adding text / Changing text
00:00:14:13 delete everything before Did you know ,Spelling in the captions / Adding text / Changing text
00:00:16:05 These 2 points make no sense? Why are they combined (,Reframing
00:00:46:00 We need it to be of different points. ,Reframing
00:00:46:00 Can we use the same font as the other reels as well as the color for it?,Reframing
00:00:04:20 This is where her instagram handle should come,Reframing
"00:00:27:13 Remove this from here, place it in the start ",Reframing
"00:00:46:13 Let's not do all these zoom cuts in and out, please reduce them, she doesn't like it",Reframing
00:01:12:22 did she ask to put this?,Reframing
00:00:36:25 Does not have my end screen,Reframing
"00:01:36:16 Please use the photo transition and make the picture come in the middle, stay for 5/6 seconds at least.. with a white BG on either side since this will come in the middle.",Ending transition and sound effect not there
00:01:36:16 This is for all the videos.,Reframing
00:01:44:08 Make it stay for 6/7 seconds (,Reframing
00:00:47:07 Missing the end screen we discussed ,Reframing
"00:01:12:22 No, should I remove it? (12 kB)",Reframing
00:01:46:16 Make it stay 5/6 seconds,Reframing
00:01:48:19 Make it stay 5/6 seconds,Reframing
00:01:12:22 Yes,
"00:02:19:19 Don't do a lot of zoom in zoom out, keep it constan",Reframing
00:02:38:07 Same with the pictures - stay for long and change transition ,Ending transition and sound effect not there
0:03:23:15 Make all pictures come full frame for all pictures,Reframing
00:04:15:06 Check the picture here,Reframing
00:12:16:13 This is repeated the line - please remove the zoomed in version,Captions repeating at different timestamps
00:12:16:13 This is repeated the line - please remove the zoomed in version,Captions repeating at different timestamps
00:19:17:11 Is the bg noise in this from the original video? Can it be reduced?,Sound effects or music louder than the speaker’s voice
00:00:48:05 Please add outro.,Spelling in the captions / Adding text / Changing text
00:00:00:00 Please add outro.,Spelling in the captions / Adding text / Changing text
"00:00:36:23 Outro (224 kB)
",Spelling in the captions / Adding text / Changing text
"00:19:17:11 Yes, from the original. I tried to reduce it, but unsuccesfully (",Reframing
00:00:39:17 outro,Spelling in the captions / Adding text / Changing text
00:00:26:12 Zoom in a little as the machine screen not visible,Reframing
00:00:48:03 outro ,Spelling in the captions / Adding text / Changing text
"00:19:17:11 Oh, actually, tried again right now and it's much better, sending clip",Reframing
00:00:40:09 zoom in the machine screen,Reframing
00:00:00:03 add outro,Spelling in the captions / Adding text / Changing text
00:28:53:13 picture with white bg ,Reframing
00:00:38:13 add outr,Spelling in the captions / Adding text / Changing text
00:00:43:10 Add outro ,Spelling in the captions / Adding text / Changing text
00:00:56:08 outro ,Spelling in the captions / Adding text / Changing text
00:00:42:18 outro ,Spelling in the captions / Adding text / Changing text
00:00:10:16 works (,Spelling in the captions / Adding text / Changing text
00:00:55:09 outro (,Spelling in the captions / Adding text / Changing text
00:00:58:12 outro ,Spelling in the captions / Adding text / Changing text
"00:00:00:01 Please change text to - ""Today we're gonna be working on this""",Spelling in the captions / Adding text / Changing text
00:00:08:04,
00:00:12:23 ?? ,
00:00:08:04 I'm uploading the correct  version ,
00:00:46:18 ok,
"00:00:46:18 please change text to - ""the car to surgeon",Spelling in the captions / Adding text / Changing text
00:00:54:17 o utrk]\\\ ,Spelling in the captions / Adding text / Changing text
"00:00:25:15 Please remove text ""CONTENT PERSPECTIVE""",Spelling in the captions / Adding text / Changing text
00:00:31:23 ADD OUTRO ,Spelling in the captions / Adding text / Changing text
00:00:30:02 Add outro.,Spelling in the captions / Adding text / Changing text
00:00:28:05 Add outro ,Spelling in the captions / Adding text / Changing text
00:00:49:20 Add outro ,Spelling in the captions / Adding text / Changing text
"0:00:02:01 Please change text to ""WHY AM I SELLING* ",Spelling in the captions / Adding text / Changing text
"00:00:15:25 Please change text to ""A SILVER RING""",Spelling in the captions / Adding text / Changing text
00:00:52:00 Add outro ,Spelling in the captions / Adding text / Changing text
00:00:52:00 transition at end is weird. ,Ending transition and sound effect not there
"00:00:37:00 Please change text to ""*Ka'Chava""",Spelling in the captions / Adding text / Changing text
00:00:58:16 Please add outro.,Spelling in the captions / Adding text / Changing text
00:00:59:18 Add outro ,Spelling in the captions / Adding text / Changing text
"00:00:00:00 Hi, could you make the GMT videos without the watermark, please? Thanks! :)",Reframing
00:00:04:24 All these to come on top as they won't be visible on the bottom,Reframing
00:00:09:01 Change this frame to something else ,Reframing
00:00:37:59 The dish should come in the center ,Reframing
00:00:50:34 Can't see anything ,Reframing
00:00:05:25 Conor,Reframing
"00:00:25:11 Please change text to ""Because of LEAN mode",Spelling in the captions / Adding text / Changing text
"00:00:27:02 Please change text to ""So it offers"" ",Spelling in the captions / Adding text / Changing text
"00:00:30:18 Please change text to ""Not everybody has it""",Spelling in the captions / Adding text / Changing text
"00:00:43:13 Please change text to ""But definitely Farther good""",Spelling in the captions / Adding text / Changing text
00:00:43:20 add his website URL for 10 sec at end- RayGrimesFineArt.com,Spelling in the captions / Adding text / Changing text
00:00:32:27 add his website URL for 10 sec at end- RayGrimesFineArt.com ,Spelling in the captions / Adding text / Changing text
0:00:18:24 Great! But please don't put the Gamer Thrones watermark on the videos!,Spelling in the captions / Adding text / Changing text
00:00:00:00 Great! But please don't put the Gamer Thrones watermark on the videos!,Spelling in the captions / Adding text / Changing text
00:00:07:17 Put Number 1 here,Spelling in the captions / Adding text / Changing text
00:00:07:26 Cut this,
00:00:08:39 Do not ever go out unless you are in a good moos!,Spelling in the captions / Adding text / Changing text
00:00:15:38 you.,Spelling in the captions / Adding text / Changing text
00:00:17:04 Remove this and put here - 2. Posture and etiquette,Spelling in the captions / Adding text / Changing text
"00:00:21:41 Put this below
3. Privacy",Spelling in the captions / Adding text / Changing text
